Order ID,Order Date,Ship Date,Ship Mode,Segment,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Status
CA-2016-152156,2016-11-08,2016-11-11,Second Class,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,Pending
CA-2016-152156,2016-11-08,2016-11-11,Second Class,Consumer,Henderson,Kentucky,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.9399999999999,3,0.0,219.58199999999997,Open
CA-2016-138688,2016-06-12,2016-06-16,Second Class,Corporate,Los Angeles,California,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8713999999999995,Completed
US-2015-108966,2015-10-11,2015-10-18,Standard Class,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.03100000000006,Pending
US-2015-108966,2015-10-11,2015-10-18,Standard Class,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368000000000002,2,0.2,2.516399999999999,Pending
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.169399999999996,Pending
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656000000000002,Pending
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.71520000000004,Pending
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,Pending
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.46999999999999,Pending
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.1840000000002,9,0.2,85.3091999999998,Open
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.35680000000002,Open
CA-2017-114412,2017-04-15,2017-04-20,Standard Class,Consumer,Concord,North Carolina,South,Office Supplies,Paper,Xerox 1967,15.552000000000003,3,0.2,5.4432,Completed
